Designator,Mid X,Mid Y,Rotation,Layer
D1,113.665,-129.275,0.0,top
D10,176.235,-140.17,0.0,bottom
D11,157.135,-137.87,0.0,bottom
D13,138.085,-121.07,0.0,bottom
D14,138.12875,-102.02,0.0,bottom
D15,138.135,-139.97,0.0,bottom
D16,176.235,-120.97,0.0,bottom
D17,157.235,-118.87,0.0,bottom
D18,157.26,-99.82,0.0,bottom
D2,113.665,-131.8,0.0,top
D3,113.79,-137.3,0.0,top
D4,113.665,-134.35,0.0,top
D5,113.665,-126.75,0.0,top
D6,106.675,-130.335,90.0,top
D7,103.65,-130.335,90.0,top
D8,103.465,-137.225,0.0,top
D9,100.2,-130.335,90.0,top
J1,179.6,-75.19,0.0,top
SW1,138.12875,-95.76125,0.0,top
SW10,176.22875,-97.85125,0.0,top
SW2,138.12875,-114.81125,0.0,top
SW3,157.17875,-93.38,0.0,top
SW4,157.2,-112.41,0.0,top
SW6,176.22875,-114.81125,0.0,top
SW7,138.12875,-133.86125,0.0,top
SW8,157.17875,-131.48,0.0,top
SW9,176.22875,-133.86125,0.0,top
U1,106.845,-107.605,90.0,top
